ym,port,history_n,scenario,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,buffer_raw,pressure_pct,buffer_pct,pressure_z,buffer_z,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,buffer_index,pressure_index,enough_history,high_pressure_cut,high_buffer_cut,low_pressure_cut,status,next_empty_net,next_roll3_empty_net,next_pressure_index,next_buffer_index,next_status,eligible_eval,high_pressure_flag,high_buffer_flag,next_positive_empty_net,next_positive_roll3,next_low_pressure
202510,基隆港,10,roc,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.23655086713700785,-0.19583540609724903,0.15814097748525233,-29228.666666666668,-290308,-0.21953099237693227,0,0.7634491328629921,0.7272727272727273,0.5454545454545454,-2.4615612328441068,-2.030042034151811,0.0203577305198794,0,0,0.9796422694801206,0.2354686661873295,0.15814097748525233,0.4136666666666666,0.21622222222222223,TRUE,0.4752222222222222,0.4998888888888889,0.21622222222222223,正常港,-25006,-27342.333333333332,0,0.6388,高緩衝港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202511,基隆港,11,roc,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.20284321674814632,-0.18307577701595856,0.12176742875027684,-27342.333333333332,-315314,-0.20707828638522305,0,0.7971567832518537,0.8181818181818182,0.9090909090909092,-2.4615612328441068,-2.030042034151811,0.00988371986609389,0,0,0.990116280133906,0.2001807134459467,0.12176742875027684,0.6388,0,TRUE,0.4943999999999999,0.6332,0,高緩衝港,-25087,-24800.666666666668,0,0.621090909090909,高緩衝港,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
202512,基隆港,12,roc,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.18944611471256723,-0.17200371610850762,0.1275269709259075,-24800.666666666668,-340401,-0.18363829974057175,0,0.8105538852874328,1,1,-2.4615612328441068,-2.030042034151811,0.0087211993020298,0,0,0.99127880069797,0.1700405320937163,0.1275269709259075,0.621090909090909,0,TRUE,0.30309090909090913,0.5655454545454545,0.08081818181818182,高緩衝港,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
202501,安平港,1,roc,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,FALSE,0,0,0,正常港,0,0,0,0,正常港,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
202502,安平港,2,roc,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,FALSE,1,0.111,0.278,正常港,0,0,0,0,正常港,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
202503,安平港,3,roc,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.5,0.361,0.278,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202504,安平港,4,roc,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.7963333333333333,0.4443333333333333,0.4073333333333333,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202505,安平港,5,roc,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.611,0.4445,0.278,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202506,安平港,6,roc,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.1668,0.5222,0.11120000000000002,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202507,安平港,7,roc,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.3611666666666667,0.6575,0.09266666666666667,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202508,安平港,8,roc,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.24614285714285716,0.31742857142857145,0.1985714285714286,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202509,安平港,9,roc,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.5555,0.437625,0.17375000000000002,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202510,安平港,10,roc,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.4752222222222222,0.4998888888888889,0.21622222222222223,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202511,安平港,11,roc,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.4943999999999999,0.6332,0,正常港,0,0,0,0,正常港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202512,安平港,12,roc,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0,0,0,0,TRUE,0.30309090909090913,0.5655454545454545,0.08081818181818182,正常港,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
202501,臺中港,1,roc,11295,9012,80832,40216,129085,2283,20307,121048,0.15731494751520317,0.01768602083898206,0.3115466553046442,2283,2283,0.01768602083898206,1,0.8426850524847969,0.09090909090909093,0.18181818181818185,-1.0773114034521802,-0.579422761206617,0.08750048417709261,0.01768602083898206,0.01768602083898206,0.9124995158229074,0,0.3115466553046442,0,0,FALSE,0,0,0,正常港,287,1285,0,0.722,正常港,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
202502,臺中港,2,roc,6222,5935,64518,43731,108321.75,287,12157,108249,0.11223046156473654,0.00264951406342678,0.4037139355669568,1285,2570,0.01016776745120442,2,0.8877695384352635,0,1,-1.0773114034521802,-0.579422761206617,0.05743998781408166,0.00264951406342678,0.01186280686934987,0.94256001218591845,0,0.4037139355669568,0.722,0,FALSE,1,0.111,0.278,正常港,4011,2193.6666666666665,0.8055,0.361,高壓力港,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
202503,臺中港,3,roc,10585,6574,83661,51097,140307.75,4011,17159,134758,0.12229545410000515,0.02858715929804305,0.3641780300803056,2193.6666666666665,6581,0.01630756473348396,3,0.8777045458999948,0.2727272727272727,0.9090909090909092,-1.0773114034521802,-0.579422761206617,0.07544130669902412,0.02858715929804305,0.01563467924378137,0.9245586933009758,0,0.3641780300803056,0.361,0.8055,TRUE,0.5,0.361,0.278,高壓力港,5963,3420.3333333333335,1,0.074,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202504,臺中港,4,roc,14514,8551,79471,52098,134071.5,5963,23065,131569,0.17203507083906722,0.04447626825984643,0.38858370347165505,3420.3333333333335,12544,0.02523764720710541,4,0.8279649291609328,0.9090909090909092,0.09090909090909093,-1.0773114034521802,-0.579422761206617,0.10825566954945684,0.04447626825984643,0.0255112632687285,0.8917443304505431,0,0.38858370347165505,0.074,1,TRUE,0.7963333333333333,0.4443333333333333,0.4073333333333333,高壓力港,5496,5156.666666666667,0.8472500000000001,0.0555,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202505,臺中港,5,roc,15646,10150,89576,52361,143425.5,5496,25796,141937,0.17985644114888916,0.03831954568748235,0.36507455089924734,5156.666666666667,18040,0.03712765774845728,5,0.8201435588511109,0.7272727272727273,0,-1.0773114034521802,-0.579422761206617,0.10908799341818574,0.03831954568748235,0.03595362516893207,0.8909120065818142,0,0.36507455089924734,0.0555,0.8472500000000001,TRUE,0.611,0.4445,0.278,高壓力港,4450,5303,0.5888,0.4332,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202506,臺中港,6,roc,11980,7530,81090,53586,139288.5,4450,19510,134676,0.14006899349192503,0.03194807898713821,0.384712305753885,5303,22490,0.038247964311489,6,0.859931006508075,0.3636363636363637,0.6363636363636364,-1.0773114034521802,-0.579422761206617,0.08600853623953161,0.03194807898713821,0.03807205907163908,0.9139914637604684,0,0.384712305753885,0.4332,0.5888,TRUE,0.1668,0.5222,0.11120000000000002,高壓力港,6869,5605,0.9073333333333332,0.25916666666666666,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202507,臺中港,7,roc,13488,6619,80136,48288,129173.25,6869,20107,128424,0.1556591631781348,0.0531766445452135,0.37382352770407185,5605,29359,0.04114808973994469,7,0.8443408368218652,1,0.3636363636363637,-1.0773114034521802,-0.579422761206617,0.10441790386167414,0.0531766445452135,0.04339133682863905,0.8955820961383258,0,0.37382352770407185,0.25916666666666666,0.9073333333333332,TRUE,0.3611666666666667,0.6575,0.09266666666666667,高壓力港,5568,5629,0.6904285714285714,0.3094285714285714,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202508,臺中港,8,roc,13444,7876,90881,51132,139444,5568,21320,142013,0.15289291758698834,0.0399300077450446,0.366684834055248,5629,34927,0.04168491042579877,8,0.8471070824130117,0.8181818181818182,0.4545454545454546,-1.0773114034521802,-0.579422761206617,0.09641146266601648,0.0399300077450446,0.04036745933851582,0.9035885373339836,0,0.366684834055248,0.3094285714285714,0.6904285714285714,TRUE,0.24614285714285716,0.31742857142857145,0.1985714285714286,高壓力港,4479,5638.666666666667,0.5555,0.319375,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202509,臺中港,9,roc,11343,6864,84933,45220,126648.75,4479,18207,130153,0.14375980813075534,0.03536552867675362,0.3570505038541636,5638.666666666667,39406,0.04282406032233724,9,0.8562401918692447,0.4545454545454546,0.5454545454545454,-1.0773114034521802,-0.579422761206617,0.08956266840375447,0.03536552867675362,0.04452208700572779,0.9104373315962456,0,0.3570505038541636,0.319375,0.5555,TRUE,0.5555,0.437625,0.17375000000000002,高壓力港,4505,4850.666666666667,0.4752222222222222,0.4998888888888889,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202510,臺中港,10,roc,10016,5511,80123,45046,124361.5,4505,15527,125169,0.12485375297017164,0.03622503749150661,0.36221821061984616,4850.666666666667,43911,0.03717352463776827,10,0.8751462470298284,0.5454545454545454,0.7272727272727273,-1.0773114034521802,-0.579422761206617,0.08053939523083913,0.03622503749150661,0.03900456867010021,0.9194606047691608,0,0.36221821061984616,0.4998888888888889,0.4752222222222222,TRUE,0.4752222222222222,0.4998888888888889,0.21622222222222223,高壓力港,4932,4638.666666666667,0.4943999999999999,0.4388,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202511,臺中港,11,roc,10475,5543,86134,43059,129488.5,4932,16018,129193,0.12370210482011916,0.03808832444580021,0.33253146032273134,4638.666666666667,48843,0.03655963020468681,11,0.8762978951798809,0.6363636363636364,0.8181818181818182,-1.0773114034521802,-0.579422761206617,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.9191047853670404,0,0.33253146032273134,0.4388,0.4943999999999999,TRUE,0.4943999999999999,0.6332,0,高壓力港,2933,4123.333333333333,0.30309090909090913,0.308,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202512,臺中港,12,roc,12988,10055,96048,53118,147130.25,2933,23043,149166,0.1566163314478158,0.01993471770760941,0.3610270491622219,4123.333333333333,51776,0.03141602654830541,12,0.8433836685521842,0.18181818181818185,0.2727272727272727,-1.0773114034521802,-0.579422761206617,0.08827552457771261,0.01993471770760941,0.02802505489750294,0.9117244754222874,0,0.3610270491622219,0.308,0.30309090909090913,TRUE,0.30309090909090913,0.5655454545454545,0.08081818181818182,高壓力港,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
202501,臺北港,1,roc,2741,6723,65885,51689,117935,-3982,9464,117574,0.08024759401365159,-0.03376436172467885,0.4382838003985246,-3982,-3982,-0.03376436172467885,0,0.9197524059863484,0.09090909090909093,0.9090909090909092,-1.095100857618431,0.9586697318524964,0.02324161614448637,0,0,0.9767583838555136,0.03376436172467885,0.4382838003985246,0,0,FALSE,0,0,0,正常港,4801,409.5,1,0.111,正常港,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
202502,臺北港,2,roc,8091,3290,62585,45740,100157.25,4801,11381,108325,0.11363131475754376,0.04793462280563813,0.4566818677629428,409.5,819,0.00708513054047963,1,0.8863686852424563,1,0.2727272727272727,-1.095100857618431,0.9586697318524964,0.08078296878159094,0.04793462280563813,0.0040885707225388,0.919217031218409,0,0.4566818677629428,0.111,1,FALSE,1,0.111,0.278,正常港,-3224,-801.6666666666666,0.139,0.5,高緩衝港,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
202503,臺北港,3,roc,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.0813828567747363,-0.02443456232461816,0.45337329970802065,-801.6666666666666,-2405,-0.00342143374788629,0,0.9186171432252636,0.2727272727272727,0.8181818181818182,-1.095100857618431,0.9586697318524964,0.02847414722505906,0,0,0.971525852774941,0.00607579842749241,0.45337329970802065,0.5,0.139,TRUE,0.5,0.361,0.278,高緩衝港,4684,2087,0.7963333333333333,0.037,高壓力港,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
202504,臺北港,4,roc,11784,7100,74748,54160,120731.25,4684,18884,128908,0.15641352176839057,0.03879691463477765,0.4485996790391883,2087,2279,0.02076565837193254,1,0.8435864782316095,0.9090909090909092,0,-1.095100857618431,0.9586697318524964,0.09760521820158408,0.03879691463477765,0.01728632810477817,0.902394781798416,0,0.4485996790391883,0.037,0.7963333333333333,TRUE,0.7963333333333333,0.4443333333333333,0.4073333333333333,高壓力港,-2013,-184.33333333333343,0.139,0.4445,高緩衝港,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
202505,臺北港,5,roc,6801,8814,83855,53083,130724.75,-2013,15615,136938,0.11944945390983729,-0.01539876725715673,0.40606694600678145,-184.33333333333343,266,-3.454716489990813e-4,0,0.8805505460901627,0.4545454545454546,0.09090909090909093,-1.095100857618431,0.9586697318524964,0.05202534332634027,0,0,0.9479746566736598,0.00141008748024634,0.40606694600678145,0.4445,0.139,TRUE,0.611,0.4445,0.278,高緩衝港,-2713,-14,0.11120000000000002,0.5222,高緩衝港,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
202506,臺北港,6,roc,5152,7865,79202,57164,129791.5,-2713,13017,136366,0.10029162156227488,-0.02090275557336189,0.4404294580153554,-14,-2447,8.317972680863423e-4,0,0.8997083784377251,0.3636363636363637,0.4545454545454546,-1.095100857618431,0.9586697318524964,0.03969443299445649,0,0,0.9603055670055436,1.0786530705015352e-4,0.4404294580153554,0.5222,0.11120000000000002,TRUE,0.1668,0.5222,0.11120000000000002,高緩衝港,-4230,-2985.3333333333335,0.09266666666666667,0.6575,高緩衝港,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
202507,臺北港,7,roc,4324,8554,70167,52201,123743.75,-4230,12878,122368,0.10406990252032931,-0.03418354462346583,0.42184756805899287,-2985.3333333333335,-6677,-0.02349502248466148,0,0.8959300974796707,0,0.3636363636363637,-1.095100857618431,0.9586697318524964,0.03494317894843174,0,0,0.9650568210515682,0.02412512416452009,0.42184756805899287,0.6575,0.09266666666666667,TRUE,0.3611666666666667,0.6575,0.09266666666666667,高緩衝港,-3745,-3562.6666666666665,0.03971428571428571,0.873,高緩衝港,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
202508,臺北港,8,roc,3206,6951,72494,54714,117768.5,-3745,10157,127208,0.0862454731103818,-0.03179967478570246,0.46458942756339766,-3562.6666666666665,-10422,-0.02896199166084339,0,0.9137545268896182,0.18181818181818185,0.7272727272727273,-1.095100857618431,0.9586697318524964,0.02722289916233967,0,0,0.9727771008376604,0.03025143961812086,0.46458942756339766,0.873,0.03971428571428571,TRUE,0.24614285714285716,0.31742857142857145,0.1985714285714286,高緩衝港,2853,-1707.3333333333337,0.66675,0.34037500000000004,正常港,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
202509,臺北港,9,roc,7833,4980,72964,44288,107584.75,2853,12813,117252,0.11909680507692771,0.02651862833719463,0.4116568565712148,-1707.3333333333337,-7569,-0.01315486369065788,1,0.8809031949230722,0.7272727272727273,0.18181818181818185,-1.095100857618431,0.9586697318524964,0.07280771670706118,0.02651862833719463,0,0.9271922832929388,0.01586965934608142,0.4116568565712148,0.34037500000000004,0.66675,TRUE,0.5555,0.437625,0.17375000000000002,正常港,-427,-439.6666666666668,0.12355555555555556,0.5369999999999999,高緩衝港,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202510,臺北港,10,roc,4013,4440,64311,51154,113001,-427,8453,115465,0.07480464774648012,-0.00377872762187945,0.4526862594136335,-439.6666666666668,-7996,-0.00301992469012909,0,0.92519535225352,0.5454545454545454,1,-1.095100857618431,0.9586697318524964,0.03551296006230033,0,0,0.9644870399376996,0.00389082102518266,0.4526862594136335,0.5369999999999999,0.12355555555555556,TRUE,0.4752222222222222,0.4998888888888889,0.21622222222222223,高緩衝港,4029,2151.6666666666665,0.7944,0.2166,高壓力港,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
202511,臺北港,11,roc,7765,3736,68329,52743,121710.5,4029,11501,121072,0.0944947231339942,0.03310314229257131,0.4333479855887537,2151.6666666666665,-3967,0.01861434766929549,1,0.9055052768660058,0.8181818181818182,0.6363636363636364,-1.095100857618431,0.9586697318524964,0.06379893271328275,0.03310314229257131,0.01767856238095042,0.9362010672867171,0,0.4333479855887537,0.2166,0.7944,TRUE,0.4943999999999999,0.6332,0,高壓力港,3800,2467.3333333333335,0.6565454545454545,0.24236363636363636,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
202512,臺北港,12,roc,8930,5130,84355,61543,148565.25,3800,14060,145898,0.0946385510743596,0.02557798677685394,0.4142489579494532,2467.3333333333335,-167,0.01830080048251526,2,0.9053614489256404,0.6363636363636364,0.5454545454545454,-1.095100857618431,0.9586697318524964,0.06010826892560676,0.02557798677685394,0.01660774194055025,0.9398917310743932,0,0.4142489579494532,0.24236363636363636,0.6565454545454545,TRUE,0.30309090909090913,0.5655454545454545,0.08081818181818182,高壓力港,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
202501,高雄港,1,roc,68252,54612,377368,305842,780706.5,13640,122864,683210,0.1573754029203036,0.01747135447187899,0.39175029284372553,13640,13640,0.01747135447187899,1,0.8426245970796964,0.4545454545454546,0.7272727272727273,-0.2560045942332927,0.4932347490481129,0.08742337869609129,0.01747135447187899,0.01747135447187899,0.9125766213039088,0,0.39175029284372553,0,0,FALSE,0,0,0,正常港,27384,20512,1,0.111,正常港,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
202502,高雄港,2,roc,71397,44013,333046,277184,693319.75,27384,115410,610230,0.16645999194455371,0.03949692764413533,0.39979244785685103,20512,41024,0.02848414105800716,2,0.8335400080554463,1,0.3636363636363637,-0.2560045942332927,0.4932347490481129,0.10297845979434452,0.03949692764413533,0.02958519499841162,0.8970215402056555,0,0.39979244785685103,0.111,1,FALSE,1,0.111,0.278,正常港,25438,22154,0.5,0.3055,高壓力港,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
202503,高雄港,3,roc,81063,55625,399283,293156,791883.25,25438,136688,692439,0.17261130349707485,0.03212342223427506,0.37020103657957154,22154,66462,0.02969723478342979,3,0.8273886965029251,0.8181818181818182,0.09090909090909093,-0.2560045942332927,0.4932347490481129,0.10236736286567497,0.03212342223427506,0.0279763462606388,0.8976326371343251,0,0.37020103657957154,0.3055,0.5,TRUE,0.5,0.361,0.278,高壓力港,20982,24601.333333333332,0.4073333333333333,0.4443333333333333,高緩衝港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202504,高雄港,4,roc,74523,53541,366749,279789,736143,20982,128064,646538,0.17396619950199893,0.02850261430184081,0.3800742518776922,24601.333333333332,87444,0.03337432139341707,4,0.826033800498001,0.7272727272727273,0,-0.2560045942332927,0.4932347490481129,0.10123440690191989,0.02850261430184081,0.03341923149895242,0.8987655930980801,0,0.3800742518776922,0.4443333333333333,0.4073333333333333,TRUE,0.7963333333333333,0.4443333333333333,0.4073333333333333,高緩衝港,26882,24434,0.611,0.51375,高壓力港,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
202505,高雄港,5,roc,69228,42346,390485,297912,760686.5,26882,111574,688397,0.14667540438801005,0.0353391311663872,0.3916357132668977,24434,114326,0.03198838923416769,5,0.8533245956119899,0.9090909090909092,0.9090909090909092,-0.2560045942332927,0.4932347490481129,0.09100726777719864,0.0353391311663872,0.03212098545195688,0.9089927322228014,0,0.3916357132668977,0.51375,0.611,TRUE,0.611,0.4445,0.278,高壓力港,10872,19578.666666666668,0.07780000000000001,0.5998,高緩衝港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202506,高雄港,6,roc,66615,55743,388171,305025,754069,10872,122358,693196,0.16226366552662952,0.01441777874438546,0.4045054232437615,19578.666666666668,125198,0.02608650807087115,6,0.8377363344733705,0.2727272727272727,0.6363636363636364,-0.2560045942332927,0.4932347490481129,0.08834072213550749,0.01441777874438546,0.02596402539643808,0.9116592778644924,0,0.4045054232437615,0.5998,0.07780000000000001,TRUE,0.1668,0.5222,0.11120000000000002,高緩衝港,14286,17346.666666666668,0.3611666666666667,0.398,高壓力港,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
202507,高雄港,7,roc,67092,52806,387078,292485,731295.5,14286,119898,679563,0.16395287541082915,0.01953519473318241,0.39995460111541775,17346.666666666668,139484,0.02309736821465169,7,0.8360471245891709,0.5454545454545454,0.5454545454545454,-0.2560045942332927,0.4932347490481129,0.09174403507200578,0.01953519473318241,0.02372046138211799,0.9082559649279942,0,0.39995460111541775,0.398,0.3611666666666667,TRUE,0.3611666666666667,0.6575,0.09266666666666667,高壓力港,12287,12481.666666666666,0.24614285714285716,0.2777142857142857,高壓力港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
202508,高雄港,8,roc,70142,57855,387439,289330,762628,12287,127997,676769,0.1678367434712599,0.01611139375947382,0.3793854933204656,12481.666666666666,151771,0.01668812241234723,8,0.8321632565287401,0.3636363636363637,0.2727272727272727,-0.2560045942332927,0.4932347490481129,0.09197406861536686,0.01611139375947382,0.01636665145610529,0.9080259313846332,0,0.3793854933204656,0.2777142857142857,0.24614285714285716,TRUE,0.24614285714285716,0.31742857142857145,0.1985714285714286,高壓力港,8235,11602.666666666666,0.083375,0.45825,高緩衝港,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
